No.,Country
0,United States
1,United Kingdom
2,Canada
3,India
4,Australia
5,Germany
6,Israel
7,Malaysia
8,Pakistan
9,Switzerland
10,Russia
11,Ukraine
12,Japan
13,Egypt
14,China
15,South Korea
16,Turkey
17,Philippines
18,Ireland
19,Singapore
20,Taiwan
21,Nigeria
22,Thailand
23,New Zealand
24,Saudi Arabia
25,United Arab Emirates
26,South Africa
27,Romania
28,Kenya
29,Syria
30,Tuvalu
31,Greece
32,Indonesia
33,Cambodia
34,Iran
35,Iraq
36,Uganda
37,British Indian Ocean Territory
38,France
39,Vatican City
40,Italy
41,Norway
42,Portugal
43,Spain
44,Poland
